run_id,run_date,environment,commit_or_version,case_id,output_path,baseline_score,hard_fail,reviewer,notes
full-no-edit-2026-08-12T1035Z-80163ba-01_explicit_action_recap,2026-08-12T10:35:34.345Z,live-direct-no-edit-engine,80163ba,1,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/01_explicit_action_recap/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-02_scattered_actions,2026-08-12T10:35:48.043Z,live-direct-no-edit-engine,80163ba,2,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/02_scattered_actions/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-03_superseded_actions,2026-08-12T10:36:01.227Z,live-direct-no-edit-engine,80163ba,3,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/03_superseded_actions/normalised_output.json,30,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-04_completed_vs_outstanding,2026-08-12T10:36:18.981Z,live-direct-no-edit-engine,80163ba,4,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/04_completed_vs_outstanding/normalised_output.json,30,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-05_hypothetical_language,2026-08-12T10:36:33.457Z,live-direct-no-edit-engine,80163ba,5,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/05_hypothetical_language/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-06_ownership_chaos,2026-08-12T10:36:46.097Z,live-direct-no-edit-engine,80163ba,6,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/06_ownership_chaos/normalised_output.json,45,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-07_deadline_torture,2026-08-12T10:36:57.768Z,live-direct-no-edit-engine,80163ba,7,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/07_deadline_torture/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-08_attendee_provenance,2026-08-12T10:37:13.325Z,live-direct-no-edit-engine,80163ba,8,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/08_attendee_provenance/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-09_no_action_meeting,2026-08-12T10:37:26.441Z,live-direct-no-edit-engine,80163ba,9,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/09_no_action_meeting/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1035Z-80163ba-10_chaos_goblin,2026-08-12T10:37:39.107Z,live-direct-no-edit-engine,80163ba,10,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1035Z-80163ba/10_chaos_goblin/normalised_output.json,15,true,OpenClaw,no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-01_explicit_action_recap,2026-08-12T13:11:41.445Z,live-direct-no-edit-engine-refreshed,29026286,1,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/01_explicit_action_recap/normalised_output.json,43.8,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-02_scattered_actions,2026-08-12T13:11:56.294Z,live-direct-no-edit-engine-refreshed,29026286,2,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/02_scattered_actions/normalised_output.json,63.8,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-03_superseded_actions,2026-08-12T13:12:10.158Z,live-direct-no-edit-engine-refreshed,29026286,3,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/03_superseded_actions/normalised_output.json,90,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-04_completed_vs_outstanding,2026-08-12T13:12:22.226Z,live-direct-no-edit-engine-refreshed,29026286,4,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/04_completed_vs_outstanding/normalised_output.json,75,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-05_hypothetical_language,2026-08-12T13:12:35.040Z,live-direct-no-edit-engine-refreshed,29026286,5,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/05_hypothetical_language/normalised_output.json,90,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-06_ownership_chaos,2026-08-12T13:12:47.412Z,live-direct-no-edit-engine-refreshed,29026286,6,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/06_ownership_chaos/normalised_output.json,60,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-07_deadline_torture,2026-08-12T13:12:59.128Z,live-direct-no-edit-engine-refreshed,29026286,7,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/07_deadline_torture/normalised_output.json,75,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
